"","X","refYear","refMonth","period","reporterISO","reporterDesc","partnerISO","partnerDesc","primaryValue","Group","Group_0","Group_1","Group_2","Time_Treated","GDP","EXR","REXR","CA","TimeIndex","Time_TreatmentIndex","Time_TreatmentIndex_1","trade","Ltrade","LGDP","LEXR","After1","After2","UCL","GDPX","REXRX","CAX","CV"
"1",1,2014,1,201401,"ARG","Argentina","RUS","Russian Federation",48767779.83,"Group_0",1,0,0,0,29.0370856446777,0.202832846070368,0.0496774053564457,0.399830390750386,-88,1000,1000,0.04876777983,-3.0206854335689,3.3685738283323,-3.00220506984548,0,0,0,-0.481228137057752,-0.211256906556924,1.00635191558698,0.104622290657435
"2",2,2014,1,201401,"AUS","Australia","RUS","Russian Federation",24633861.388,"Group_2",0,0,1,202203,102.069417802043,0.0334906807251422,0.00864540227389172,0.565608464621795,-88,10,-2,0.024633861388,-3.70363330333586,4.62565314849048,-4.75072762837984,0,0,1,0.519189766230855,-0.214796338776418,1.52207401719708,0.608822481550504
"3",3,2014,1,201401,"AUT","Austria","RUS","Russian Federation",367456866.35,"Group_2",0,0,1,202203,31.6880835555736,0.0217696837436028,0.00522568382001105,-0.0143035719968853,-88,10,-2,0.36745686635,-1.00114933769389,3.45594069713682,-5.25416961505134,0,0,1,-0.411699207335712,-0.215091324659825,-0.281985152328338,-0.302925228107958
"4",4,2014,1,201401,"BEL","Belgium","RUS","Russian Federation",282462353.172,"Group_2",0,0,1,202203,37.2842196595943,0.0217696837436028,0.00521555342591042,-0.108473705219675,-88,10,-2,0.282462353172,-1.26421000038392,3.61857017170592,-5.25611007422122,0,0,1,-0.282274249536808,-0.215092198510492,-0.574940775954604,-0.357435741333968
"5",5,2014,1,201401,"BRA","Brazil","RUS","Russian Federation",221547189,"Group_0",1,0,0,0,190.768638382418,0.0705720842796909,0.663092400117751,0.448525045166613,-88,1000,1000,0.221547189,-1.50711966929797,5.25106137643922,-0.41084093181347,0,0,0,1.01690663904139,-0.158343555190412,1.15783702411945,0.672133369323475
"6",6,2014,1,201401,"CAN","Canada","RUS","Russian Federation",96121278.593,"Group_2",0,0,1,202203,149.54672241527,0.0323935977797413,0.00973474025857031,0.64803705548779,-88,10,-2,0.096121278593,-2.34214456615282,5.00760886852198,-4.63205432170855,0,0,1,0.823160513705184,-0.214702372173005,1.77850265773698,0.795653599756387
"7",7,2014,1,201401,"CHL","Chile","RUS","Russian Federation",40009933.63,"Group_0",1,0,0,0,19.2546858427587,15.9479360015181,2.52167217305415,0.428413571877303,-88,1000,1000,0.04000993363,-3.21862751494966,2.9577544515149,0.924922242200024,0,0,0,-0.808169367412476,0.00197806297665246,1.09527186680387,0.0963601874560152
"8",8,2014,1,201401,"COL","Colombia","RUS","Russian Federation",9318129.12,"Group_0",1,0,0,0,34.0935953954554,58.1910466171299,11.3944995763888,0.382950164921946,-88,1000,1000,0.00931812912,-4.67579340863267,3.52910954833431,2.43313074566387,0,0,0,-0.353469446073059,0.767350670455453,0.953838906257116,0.45590671021317
"9",9,2014,1,201401,"CZE","Czechia","RUS","Russian Federation",509274717,"Group_1",0,1,0,202105,14.530969883497,0.598289736640791,0.145945769702236,-0.064406773155211,-88,0,-2,0.509274717,-0.674767688970585,2.67628222576721,-1.92452016667052,0,0,1,-1.03217261796396,-0.202952770153981,-0.437852135188859,-0.5576591744356
"10",10,2014,1,201401,"DNK","Denmark","RUS","Russian Federation",131154178.736,"Group_2",0,0,1,202203,26.9915249653859,0.162439438056325,0.0394660598951444,-0.0756325576885836,-88,10,-2,0.131154178736,-2.03138171091226,3.29552292655961,-3.23231421959696,0,0,1,-0.539364030961075,-0.212137740111586,-0.472774637643941,-0.408092136238867
"11",11,2014,1,201401,"FIN","Finland","RUS","Russian Federation",470750430.895,"Group_2",0,0,1,202203,19.1802505008111,0.0217696837436028,0.00531205875918478,0.412867586859182,-88,10,-2,0.470750430895,-0.753427196108066,2.95388112989196,-5.23777580527566,0,0,1,-0.811251862076613,-0.215083873933082,1.04690957209315,0.0068579453611517
"12",12,2014,1,201401,"FRA","France","RUS","Russian Federation",764855174.69,"Group_2",0,0,1,202203,221.853634257157,0.0217696837436028,0.00528326711279354,0.218679253030242,-88,10,-2,0.76485517469,-0.268068777208502,5.40201785928712,-5.24321060126162,0,0,1,1.13704191263695,-0.215086357508663,0.442805462956823,0.454920339361702
