reporterISO,pre_avg_trade,post_avg_trade,trade_increase
ARG,52014878.808181815,106644004.37522727,True
AUS,23834310.351027027,49091847.970770836,True
AUT,12262661.897,21565496.819657143,True
BEL,36265011.75126531,73375474.0747442,True
BRA,374161481.7777778,367144320.5970149,False
CAN,527306315.2686735,685155220.814624,True
CHE,14191615.699806452,28055328.016526315,True
CHL,210648286.56051353,274641125.73628205,True
CHN,2136902520.0833333,2717524854.481818,True
COL,91464745.99000001,136181846.10202703,True
CZE,15936536.944444444,19320749.305555556,True
DEU,169349232.0390339,333492786.9631504,True
DNK,50651858.1624375,68995707.46869135,True
EGY,130288433.99271154,146276365.14136082,True
ESP,226935838.33666667,360403003.1537803,True
FIN,11279084.302166665,54973322.19813433,True
FRA,253046366.83223334,526461872.0289146,True
GBR,319954769.1203261,588274368.5406611,True
GRC,123609073.79832758,167116241.6506124,True
HUN,4526474.222222222,7278896.2,True
IDN,155448464.54,159707680.0,True
IND,1510690019.2766,1758675639.5112927,True
IRL,38827037.004658535,53131571.83097959,True
ISL,2275637.7518076925,5125592.514658228,True
ISR,6576055.555555556,2915241.379310345,False
ITA,212755929.19453335,327601277.7239343,True
JPN,1375828065.2592692,1881657528.2655208,True
KOR,1040589186.5166667,1640968913.4,True
LUX,9801.595125,35259.812319148936,True
MEX,1693201524.28,1702515314.5737705,True
MYS,61451667.874821424,247362650.41034353,True
NLD,236759134.5382414,587911878.1485357,True
NOR,35872765.96588462,39866903.60436905,True
NZL,49187671.44752631,4101298.4659268297,False
PHL,75984980.58333333,81962137.88709678,True
POL,62837270.38095238,234694980.42857143,True
PRT,86709249.57473913,78318932.59062856,False
QAT,1899262.9502894736,1358577.1657037039,False
ROU,1427612.4082758622,6787727.56505747,True
SGP,346789650.1250833,480048554.819377,True
SWE,34303386.54994285,61422399.64682795,True
TUR,40018312.1754386,55983708.68275862,True
USA,2887926721.2916665,3589176241.723214,True
VNM,17073758.331534885,26093713.28990476,True
ZAF,106354745.41505769,125872292.8809179,True
