"","CountryCode","2021","2022","2023","RealTradeIncreased2023"
"1","ARG",843713.736663844,440112.386604577,74617.1299551461,FALSE
"2","AUS",889946.626375953,2520852.06550084,NA,TRUE
"3","AUT",7918065.34813717,3497121.92604776,1834662.34353255,FALSE
"4","BEL",39748054.1547276,73937355.9101952,26684296.8477028,TRUE
"5","BRA",15010847.2339825,18670809.0656891,76682379.5732816,TRUE
"6","CAN",4278286.80296359,472944.924611117,0.116741423202812,FALSE
"7","CHL",1434297.01260231,683.093629247994,387.255061219542,FALSE
"8","CHN",759843238.357324,845914379.302487,1148900354.79452,TRUE
"9","COL",22581.5801580581,37009.7749925691,2127.71475330343,TRUE
"10","CZE",74459325.2893029,100133242.415536,30588422.6088011,TRUE
"11","DNK",12298602.8518911,891396.077697414,NA,FALSE
"12","FIN",84126407.0214084,32940067.41828,1004659.82727603,FALSE
"13","FRA",135109830.380666,140859976.316378,28479752.5462723,TRUE
"14","DEU",251860663.609244,226523887.999297,13735094.5773306,FALSE
"15","GRC",61073017.1418854,88846430.15054,26425814.4188023,TRUE
"16","HUN",51341545.1312447,90836617.7548796,71410254.6126803,TRUE
"17","ISL",74.9837849280271,6.53715446348955,NA,FALSE
"18","IDN",3294333.55913068,4617189.10135738,13175140.0290944,TRUE
"19","IRL",6215829.05702794,1420616.80493411,292488.326209238,FALSE
"20","ISR",135901.778154107,18933.9145942733,4882484.41023154,FALSE
"21","ITA",240321515.842647,243035198.997622,21283694.3604922,TRUE
"22","JPN",122401546.104064,100793068.928396,60872645.5208995,FALSE
"23","KOR",186584539.96613,110545338.194788,NA,FALSE
"24","LUX",8623.2250635055,6428.45112454176,NA,FALSE
"25","MYS",12169967.4684025,18475257.726454,24602387.5708934,TRUE
"26","MEX",980145.568727067,45972.753393441,NA,FALSE
"27","NLD",270208111.617669,200866788.947578,60344563.9841557,FALSE
"28","NZL",557633.920081852,NA,NA,NA
"29","NOR",8342134.69328253,6563252.35102546,242367.155885562,FALSE
"30","PHL",254396.867061812,1609733.04270286,401014.19566008,TRUE
"31","POL",149377399.266159,102263211.433667,15408000.1818402,FALSE
"32","PRT",12160597.3025826,4238353.67526999,2525555.79156261,FALSE
"33","QAT",27175.6542478126,13792.7658278014,5248.25610377015,FALSE
"34","ROU",66280360.6931979,49563918.4967799,2002299.08534368,FALSE
"35","SAU",2000075.74640135,NA,26245119.4893442,NA
"36","IND",65878838.2122918,336608384.97955,711971447.824355,TRUE
"37","SGP",28113470.0651002,13722533.4652829,41569633.956322,FALSE
"38","VNM",8328871.45831216,6389784.89437234,NA,FALSE
"39","ZAF",1247338.50379622,559676.860081244,1631480.94265972,FALSE
"40","ESP",84264554.6543607,70323854.1203408,31510903.5027397,FALSE
"41","SWE",22280010.458044,4855211.08904191,445967.345290338,FALSE
"42","CHE",256568.353542196,166351.669771129,8019.94847860347,FALSE
"43","THA",11701079.7967683,3334176.21988507,432585.719372045,FALSE
"44","ARE",1233676.87967824,2804047.69928663,14009732.068675,TRUE
"45","TUR",201705200.790291,414165847.874765,364837187.331798,TRUE
"46","EGY",1214987.34500423,1757726.69078569,4367676.4658989,TRUE
"47","GBR",85073629.7143381,30760079.2680571,13055.7602254819,FALSE
"48","USA",255677013.519616,52368684.3852175,9208.93441629288,FALSE
