"","X.x","refYear","refMonth","period","reporterISO","reporterDesc","partnerISO","partnerDesc","primaryValue","Group","Group_0","Group_1","Group_2","Time_Treated","GDP","EXR","TimeIndex","Time_TreatmentIndex","Time_TreatmentIndex_1","trade","Ltrade","LGDP","After1","After2","UCL","X.y","ReporterDesc","CA","Country","REXR"
"1",1,2014,1,201401,"ARG","Argentina","UKR","Ukraine",4241939.88,"Group_0",1,0,0,0,29.0370856446777,0.819353447759585,-88,1000,1000,0.00424193988,-5.46273459550019,3.3685738283323,0,0,0,1,"Russian Federation",0.399830390750386,"Argentina",0.0496774053564457
"2",2,2014,1,201401,"AUS","Australia","UKR","Ukraine",21610130.505,"Group_2",0,0,1,202203,102.069417802043,0.135287283354693,-88,10,-2,0.021610130505,-3.83459306937931,4.62565314849048,0,0,1,13,"Russian Federation",0.565608464621795,"Australia",0.00864540227389172
"3",3,2014,1,201401,"AUT","Austria","UKR","Ukraine",59125732.46,"Group_2",0,0,1,202203,31.6880835555736,0.0879397285869995,-88,10,-2,0.05912573246,-2.82808904391697,3.45594069713682,0,0,1,25,"Russian Federation",-0.0143035719968853,"Austria",0.00522568382001105
"4",4,2014,1,201401,"BEL","Belgium","UKR","Ukraine",39739813.563,"Group_2",0,0,1,202203,37.2842196595943,0.0879397285869995,-88,10,-2,0.039739813563,-3.2254017332887,3.61857017170592,0,0,1,37,"Russian Federation",-0.108473705219675,"Belgium",0.00521555342591042
"5",5,2014,1,201401,"BRA","Brazil","UKR","Ukraine",11276497,"Group_0",1,0,0,0,190.768638382418,0.28507947154715,-88,1000,1000,0.011276497,-4.48503463078814,5.25106137643922,0,0,0,49,"Russian Federation",0.448525045166613,"Brazil",0.663092400117751
"6",6,2014,1,201401,"CAN","Canada","UKR","Ukraine",12700904.305,"Group_2",0,0,1,202203,149.54672241527,0.130855561810538,-88,10,-2,0.012700904305,-4.36608208293445,5.00760886852198,0,0,1,61,"Russian Federation",0.64803705548779,"Canada",0.00973474025857031
"7",7,2014,1,201401,"CHL","Chile","UKR","Ukraine",2224855.37,"Group_0",1,0,0,0,19.2546858427587,64.4224867946676,-88,1000,1000,0.00222485537,-6.10806336772386,2.9577544515149,0,0,0,73,"Russian Federation",0.428413571877303,"Chile",2.52167217305415
"8",8,2014,1,201401,"COL","Colombia","UKR","Ukraine",318009.55,"Group_0",1,0,0,0,34.0935953954554,235.065649366982,-88,1000,1000,0.00031800955,-8.05342914418849,3.52910954833431,0,0,0,85,"Russian Federation",0.382950164921946,"Colombia",11.3944995763888
"9",9,2014,1,201401,"CZE","Czechia","UKR","Ukraine",109047910,"Group_1",0,1,0,202105,14.530969883497,2.41682137766652,-88,0,-2,0.10904791,-2.21596795203856,2.67628222576721,0,0,1,97,"Russian Federation",-0.064406773155211,"Czechia",0.145945769702236
"10",10,2014,1,201401,"DNK","Denmark","UKR","Ukraine",20155870.906,"Group_2",0,0,1,202203,26.9915249653859,0.656182251554097,-88,10,-2,0.020155870906,-3.9042596729273,3.29552292655961,0,0,1,109,"Russian Federation",-0.0756325576885836,"Denmark",0.0394660598951444
"11",11,2014,1,201401,"FIN","Finland","UKR","Ukraine",26814034.115,"Group_2",0,0,1,202203,19.1802505008111,0.0879397285869995,-88,10,-2,0.026814034115,-3.61882986752044,2.95388112989196,0,0,1,133,"Russian Federation",0.412867586859182,"Finland",0.00531205875918478
"12",12,2014,1,201401,"FRA","France","UKR","Ukraine",113745720.627,"Group_2",0,0,1,202203,221.853634257157,0.0879397285869995,-88,10,-2,0.113745720627,-2.1737898427203,5.40201785928712,0,0,1,145,"Russian Federation",0.218679253030242,"France",0.00528326711279354
"13",13,2014,1,201401,"DEU","Germany","UKR","Ukraine",438640420.501,"Group_2",0,0,1,202203,348.014467750234,0.0879397285869995,-88,10,-2,0.438640420501,-0.824075289239621,5.85224405290522,0,0,1,157,"Russian Federation",0.0283459255804265,"Germany",0.00525714135958667
"14",14,2014,1,201401,"GRC","Greece","UKR","Ukraine",20653889.525,"Group_2",0,0,1,202203,18.3305812547012,0.0879397285869995,-88,10,-2,0.020653889525,-3.87985162259007,2.90857077191629,0,0,1,169,"Russian Federation",0.273347828358448,"Greece",0.00539630098381102
"15",15,2014,1,201401,"HUN","Hungary","UKR","Ukraine",199404034,"Group_2",0,0,1,202203,9.14438996744057,26.537340248416,-88,10,-2,0.199404034,-1.61242219096696,2.21314057294103,0,0,1,NA,NA,0,"Hungary",1.60783285633162
"16",16,2014,1,201401,"ISL","Iceland","UKR","Ukraine",1459616.336,"Group_2",0,0,1,202203,1.45707511016028,13.8687851094156,-88,10,-2,0.001459616336,-6.52958166135719,0.376431077126819,0,0,1,181,"Russian Federation",-0.187349343906264,"Iceland",0.824635854059737
"17",17,2014,1,201401,"IDN","Indonesia","UKR","Ukraine",32869510,"Group_0",1,0,0,0,69.5069372877314,1455.82176095054,-88,1000,1000,0.03286951,-3.41520979862734,4.24142656467901,0,0,0,205,"Russian Federation",-0.243821938945916,"Indonesia",97.9687355940808
"18",18,2014,1,201401,"IRL","Ireland","UKR","Ukraine",7288331.93,"Group_2",0,0,1,202203,21.48751251327,0.0879397285869995,-88,10,-2,0.00728833193,-4.92148057533054,3.06747195305993,0,0,1,215,"Russian Federation",-0.10420323665639,"Ireland",0.00528380029143041
"19",19,2014,1,201401,"ISR","Israel","UKR","Ukraine",13862000,"Group_0",1,0,0,0,25.3924261551779,0.418402424271461,-88,1000,1000,0.013862,-4.27860399548634,3.23445094669213,0,0,0,227,"Russian Federation",0.129081220581746,"Israel",0.0238456774376406
