"","X.x","refYear","refMonth","period","reporterISO","reporterDesc","partnerISO","partnerDesc","primaryValue","Group","Group_0","Group_1","Group_2","Time_Treated","GDP","EXR","TimeIndex","Time_TreatmentIndex","Time_TreatmentIndex_1","trade","Ltrade","LGDP","After1","After2","UCL","X.y","ReporterDesc","CA","Country","REXR"
"1",1,2014,1,201401,"ARG","Argentina","UKR","Ukraine",1072173.96,"Group_0",1,0,0,0,29.0370856446777,0.819353447759585,-88,1000,1000,0.00107217396,-6.83806695337947,3.3685738283323,0,0,0,1,"Russian Federation",0.399830390750386,"Argentina",0.0496774053564457
"2",2,2014,1,201401,"AUS","Australia","UKR","Ukraine",3490373.471,"Group_2",0,0,1,202203,102.069417802043,0.135287283354693,-88,10,-2,0.003490373471,-5.6577465367453,4.62565314849048,0,0,1,13,"Russian Federation",0.565608464621795,"Australia",0.00864540227389172
"3",3,2014,1,201401,"AUT","Austria","UKR","Ukraine",16441301.91,"Group_2",0,0,1,202203,31.6880835555736,0.0879397285869995,-88,10,-2,0.01644130191,-4.10795870088375,3.45594069713682,0,0,1,25,"Russian Federation",-0.0143035719968853,"Austria",0.00522568382001105
"4",4,2014,1,201401,"BEL","Belgium","UKR","Ukraine",62005815.495,"Group_2",0,0,1,202203,37.2842196595943,0.0879397285869995,-88,10,-2,0.062005815495,-2.78052710002938,3.61857017170592,0,0,1,37,"Russian Federation",-0.108473705219675,"Belgium",0.00521555342591042
"5",5,2014,1,201401,"BRA","Brazil","UKR","Ukraine",14923713,"Group_0",1,0,0,0,190.768638382418,0.28507947154715,-88,1000,1000,0.014923713,-4.20480385457737,5.25106137643922,0,0,0,49,"Russian Federation",0.448525045166613,"Brazil",0.663092400117751
"6",6,2014,1,201401,"CAN","Canada","UKR","Ukraine",5725245.046,"Group_2",0,0,1,202203,149.54672241527,0.130855561810538,-88,10,-2,0.005725245046,-5.16286992766309,5.00760886852198,0,0,1,61,"Russian Federation",0.64803705548779,"Canada",0.00973474025857031
"7",7,2014,1,201401,"CHL","Chile","UKR","Ukraine",219840.242,"Group_0",1,0,0,0,19.2546858427587,64.4224867946676,-88,1000,1000,0.000219840242,-8.42260944813031,2.9577544515149,0,0,0,73,"Russian Federation",0.428413571877303,"Chile",2.52167217305415
"8",8,2014,1,201401,"COL","Colombia","UKR","Ukraine",8103910.44,"Group_0",1,0,0,0,34.0935953954554,235.065649366982,-88,1000,1000,0.00810391044,-4.8154085634295,3.52910954833431,0,0,0,85,"Russian Federation",0.382950164921946,"Colombia",11.3944995763888
"9",9,2014,1,201401,"CZE","Czechia","UKR","Ukraine",133878044,"Group_1",0,1,0,202105,14.530969883497,2.41682137766652,-88,0,-2,0.133878044,-2.01082601284434,2.67628222576721,0,0,1,97,"Russian Federation",-0.064406773155211,"Czechia",0.145945769702236
"10",10,2014,1,201401,"DNK","Denmark","UKR","Ukraine",13963394.54,"Group_2",0,0,1,202203,26.9915249653859,0.656182251554097,-88,10,-2,0.01396339454,-4.27131604931585,3.29552292655961,0,0,1,109,"Russian Federation",-0.0756325576885836,"Denmark",0.0394660598951444
"11",11,2014,1,201401,"FIN","Finland","UKR","Ukraine",6272560.468,"Group_2",0,0,1,202203,19.1802505008111,0.0879397285869995,-88,10,-2,0.006272560468,-5.07157063959479,2.95388112989196,0,0,1,133,"Russian Federation",0.412867586859182,"Finland",0.00531205875918478
"12",12,2014,1,201401,"FRA","France","UKR","Ukraine",70042868.748,"Group_2",0,0,1,202203,221.853634257157,0.0879397285869995,-88,10,-2,0.070042868748,-2.65864781369396,5.40201785928712,0,0,1,145,"Russian Federation",0.218679253030242,"France",0.00528326711279354
"13",13,2014,1,201401,"DEU","Germany","UKR","Ukraine",206930908.163,"Group_2",0,0,1,202203,348.014467750234,0.0879397285869995,-88,10,-2,0.206930908163,-1.57537031842304,5.85224405290522,0,0,1,157,"Russian Federation",0.0283459255804265,"Germany",0.00525714135958667
"14",14,2014,1,201401,"GRC","Greece","UKR","Ukraine",21827394.082,"Group_2",0,0,1,202203,18.3305812547012,0.0879397285869995,-88,10,-2,0.021827394082,-3.82458948879366,2.90857077191629,0,0,1,169,"Russian Federation",0.273347828358448,"Greece",0.00539630098381102
"15",15,2014,1,201401,"ISL","Iceland","UKR","Ukraine",39166.8,"Group_2",0,0,1,202203,1.45707511016028,13.8687851094156,-88,10,-2,3.91668e-05,-10.1476811087986,0.376431077126819,0,0,1,181,"Russian Federation",-0.187349343906264,"Iceland",0.824635854059737
"16",16,2014,1,201401,"IDN","Indonesia","UKR","Ukraine",37960593,"Group_0",1,0,0,0,69.5069372877314,1455.82176095054,-88,1000,1000,0.037960593,-3.27120668365537,4.24142656467901,0,0,0,205,"Russian Federation",-0.243821938945916,"Indonesia",97.9687355940808
"17",17,2014,1,201401,"IRL","Ireland","UKR","Ukraine",20537236.854,"Group_2",0,0,1,202203,21.48751251327,0.0879397285869995,-88,10,-2,0.020537236854,-3.88551560865275,3.06747195305993,0,0,1,215,"Russian Federation",-0.10420323665639,"Ireland",0.00528380029143041
"18",18,2014,1,201401,"ISR","Israel","UKR","Ukraine",82290000,"Group_0",1,0,0,0,25.3924261551779,0.418402424271461,-88,1000,1000,0.08229,-2.49750568536452,3.23445094669213,0,0,0,227,"Russian Federation",0.129081220581746,"Israel",0.0238456774376406
"19",19,2014,1,201401,"ITA","Italy","UKR","Ukraine",302115427.836,"Group_2",0,0,1,202203,154.091516983856,0.0879397285869995,-88,10,-2,0.302115427836,-1.19694612325395,5.03754669203637,0,0,1,239,"Russian Federation",-0.440252881629502,"Italy",0.00525180957321792
"20",20,2014,1,201401,"JPN","Japan","UKR","Ukraine",90968787.072,"Group_2",0,0,1,202203,396.900754401785,12.4442501407371,-88,10,-2,0.090968787072,-2.39723883051176,5.98368626052237,0,0,1,251,"Russian Federation",-0.241156351783044,"Japan",0.720542700559555
"21",21,2014,1,201401,"KOR","Rep. of Korea","UKR","Ukraine",32393139,"Group_2",0,0,1,202203,108.879041606032,127.76195666495,-88,10,-2,0.032393139,-3.42980863786727,4.69023755600866,0,0,1,380,"Russian Federation",0.186110356405429,"South Korea",7.26052107700684
